,Category,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A % DV,Vitamin C % DV,Calcium % DV,Iron % DV
Italian Herbs & Cheese,Bread,76,220,4.5,2,0,10,500,37,2,3,9,4,0,6,15
Jalapeño Cheese,Bread,79,220,5,2,0,10,660,37,2,3,9,4,0,6,15
Mini 9-Grain Wheat,Bread,47,120,1,0,0,0,180,24,3,2,5,0,0,0,8
Mini Italian,Bread,47,130,1.5,0,0,0,230,25,1,2,5,0,0,0,8
Monterey Cheddar**,Bread,75,220,5,2.5,0,10,370,34,1,3,9,4,0,6,10
Parmesan Oregano**,Bread,68,190,2.5,0,0,0,460,37,2,3,7,0,0,0,15
Rosemary & Sea Salt,Bread,75,220,3,0.5,0,0,490,40,2,3,7,0,0,0,15
Spinach Wrap,Bread,102,290,8,3.5,0,0,780,48,2,1,8,0,0,10,15
Tomato Basil Wrap,Bread,102,290,8,3.5,0,0,730,49,2,1,8,0,10,8,15
American,Cheese,11,40,3.5,2,0,10,210,1,0,0,2,4,0,4,0
Cheddar**,Cheese,14,60,4.5,2.5,0,15,90,0,0,0,4,6,0,8,0
Monterey Cheddar,Cheese,14,50,4.5,3,0,15,90,0,0,0,3,6,0,8,0
Pepperjack**,Cheese,11,50,4,2.5,0,15,140,0,0,0,2,6,0,8,0
Provolone,Cheese,14,50,4,2,0,10,125,0,0,0,4,4,0,8,0
Shredded Mozzarella,Cheese,14,40,3,2,0,10,100,0,0,0,3,4,0,6,0
Swiss**,Cheese,14,50,4.5,2.5,0,15,30,0,0,0,4,4,0,10,0
Bacon,Extras,15,70,6,2,0,15,250,1,0,1,5,0,0,0,0
Guacamole,Extras,35,60,5,0.5,0,0,95,4,2,0,1,0,2,0,0
Pepperoni,Extras,18,80,7,2.5,0,20,290,1,0,0,3,0,4,0,0
Chipotle Southwest,Sauces,14,60,7,1,0,5,110,1,0,1,0,0,0,0,0
Honey Mustard**,Sauces,14,20,0,0,0,0,80,4,0,4,0,0,0,0,0
Light Mayonnaise,Sauces,15,50,5,1,0,5,100,1,0,0,0,0,0,0,0
Oil,Sauces,5,45,5,1,0,0,0,0,0,0,0,0,0,0,0
Ranch,Sauces,14,70,8,1.5,0,5,140,1,0,1,0,0,0,0,0
Red Wine Vinegar,Sauces,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Regular Mayonnaise,Sauces,14,100,11,2,0,10,65,0,0,0,0,0,0,0,0
Savory Caesar**,Sauces,14,80,9,1.5,0,5,130,0,0,0,0,0,0,0,0
Spicy Brown Mustard,Sauces,14,15,1,0,0,0,260,1,0,0,0,0,0,0,25
Subway® Vinaigrette,Sauces,14,35,3.5,0.5,0,0,110,1,0,1,0,0,0,0,0
Sweet Onion Sauce,Sauces,18,30,0,0,0,0,75,8,0,7,0,0,0,0,0
Yellow Mustard,Sauces,14,10,0.5,0,0,0,170,1,0,0,0,0,0,0,0
Banana Peppers,Veggies,4,0,0,0,0,0,65,0,0,0,0,0,6,0,0
Black Olives,Veggies,3,0,0,0,0,0,25,0,0,0,0,0,0,0,0
Cucumbers,Veggies,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Green Peppers,Veggies,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Jalapenos,Veggies,4,0,0,0,0,0,70,0,0,0,0,0,0,0,0
Lettuce,Veggies,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pickles,Veggies,9,0,0,0,0,0,115,0,0,0,0,0,0,0,0
Red Onions,Veggies,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Spinach,Veggies,7,0,0,0,0,0,5,0,0,0,0,15,2,0,0
Tomatoes,Veggies,35,5,0,0,0,0,0,1,0,1,0,10,4,0,0
Bacon,Protein,15,70,6,2,0,15,250,1,0,1,5,0,6,0,0
Parmesan Cheese,Seasonings,1,5,0,0,0,0,25,0,0,0,1,0,0,0,0
